LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[11/20](100/647) loss:2.585 lr:0.000058786212 epoch_Time:2.0min:
Epoch:[11/20](200/647) loss:2.562 lr:0.000057573139 epoch_Time:1.0min:
Epoch:[11/20](300/647) loss:1.785 lr:0.000056361496 epoch_Time:1.0min:
Epoch:[11/20](400/647) loss:1.978 lr:0.000055151998 epoch_Time:1.0min:
Epoch:[11/20](500/647) loss:2.635 lr:0.000053945358 epoch_Time:0.0min:
Epoch:[11/20](600/647) loss:0.601 lr:0.000052742286 epoch_Time:0.0min:
Epoch:[12/20](0/647) loss:2.288 lr:0.000052178277 epoch_Time:73.0min:
Epoch:[12/20](100/647) loss:2.570 lr:0.000050981737 epoch_Time:2.0min:
Epoch:[12/20](200/647) loss:2.557 lr:0.000049790513 epoch_Time:1.0min:
Epoch:[12/20](300/647) loss:1.779 lr:0.000048605307 epoch_Time:1.0min:
Epoch:[12/20](400/647) loss:1.973 lr:0.000047426816 epoch_Time:1.0min:
Epoch:[12/20](500/647) loss:2.634 lr:0.000046255736 epoch_Time:0.0min:
Epoch:[12/20](600/647) loss:0.571 lr:0.000045092757 epoch_Time:0.0min:
Epoch:[13/20](0/647) loss:2.269 lr:0.000044549150 epoch_Time:65.0min:
Epoch:[13/20](100/647) loss:2.559 lr:0.000043399322 epoch_Time:2.0min:
Epoch:[13/20](200/647) loss:2.553 lr:0.000042259279 epoch_Time:1.0min:
Epoch:[13/20](300/647) loss:1.774 lr:0.000041129692 epoch_Time:1.0min:
Epoch:[13/20](400/647) loss:1.970 lr:0.000040011227 epoch_Time:1.0min:
Epoch:[13/20](500/647) loss:2.634 lr:0.000038904543 epoch_Time:0.0min:
Epoch:[13/20](600/647) loss:0.547 lr:0.000037810294 epoch_Time:0.0min:
Epoch:[14/20](0/647) loss:2.254 lr:0.000037300475 epoch_Time:66.0min:
Epoch:[14/20](100/647) loss:2.549 lr:0.000036225671 epoch_Time:2.0min:
Epoch:[14/20](200/647) loss:2.549 lr:0.000035164880 epoch_Time:1.0min:
Epoch:[14/20](300/647) loss:1.771 lr:0.000034118727 epoch_Time:1.0min:
Epoch:[14/20](400/647) loss:1.967 lr:0.000033087828 epoch_Time:1.0min:
Epoch:[14/20](500/647) loss:2.633 lr:0.000032072791 epoch_Time:0.0min:
