LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[5/66](500/1589) loss:2.025 lr:0.000054474602 epoch_Time:1.0min:
Epoch:[5/66](600/1589) loss:1.686 lr:0.000054459219 epoch_Time:1.0min:
Epoch:[5/66](700/1589) loss:1.305 lr:0.000054443617 epoch_Time:1.0min:
Epoch:[5/66](800/1589) loss:1.839 lr:0.000054427796 epoch_Time:1.0min:
Epoch:[5/66](900/1589) loss:2.321 lr:0.000054411755 epoch_Time:1.0min:
Epoch:[5/66](1000/1589) loss:2.087 lr:0.000054395496 epoch_Time:0.0min:
Epoch:[5/66](1100/1589) loss:1.993 lr:0.000054379017 epoch_Time:0.0min:
Epoch:[5/66](1200/1589) loss:2.093 lr:0.000054362320 epoch_Time:0.0min:
Epoch:[5/66](1300/1589) loss:1.546 lr:0.000054345404 epoch_Time:0.0min:
Epoch:[5/66](1400/1589) loss:1.680 lr:0.000054328269 epoch_Time:0.0min:
Epoch:[5/66](1500/1589) loss:1.982 lr:0.000054310917 epoch_Time:0.0min:
Epoch:[6/66](0/1589) loss:1.634 lr:0.000054295289 epoch_Time:149.0min:
Epoch:[6/66](100/1589) loss:1.551 lr:0.000054277524 epoch_Time:3.0min:
Epoch:[6/66](200/1589) loss:2.224 lr:0.000054259542 epoch_Time:2.0min:
Epoch:[6/66](300/1589) loss:2.008 lr:0.000054241341 epoch_Time:2.0min:
Epoch:[6/66](400/1589) loss:1.794 lr:0.000054222923 epoch_Time:1.0min:
Epoch:[6/66](500/1589) loss:1.808 lr:0.000054204288 epoch_Time:1.0min:
Epoch:[6/66](600/1589) loss:1.592 lr:0.000054185435 epoch_Time:1.0min:
Epoch:[6/66](700/1589) loss:1.971 lr:0.000054166366 epoch_Time:1.0min:
Epoch:[6/66](800/1589) loss:1.735 lr:0.000054147079 epoch_Time:1.0min:
Epoch:[6/66](900/1589) loss:2.222 lr:0.000054127576 epoch_Time:1.0min:
Epoch:[6/66](1000/1589) loss:2.036 lr:0.000054107857 epoch_Time:0.0min:
Epoch:[6/66](1100/1589) loss:1.753 lr:0.000054087921 epoch_Time:0.0min:
Epoch:[6/66](1200/1589) loss:1.746 lr:0.000054067768 epoch_Time:0.0min:
Epoch:[6/66](1300/1589) loss:1.726 lr:0.000054047400 epoch_Time:0.0min:
Epoch:[6/66](1400/1589) loss:1.980 lr:0.000054026817 epoch_Time:0.0min:
Epoch:[6/66](1500/1589) loss:1.592 lr:0.000054006017 epoch_Time:0.0min:
Epoch:[7/66](0/1589) loss:2.278 lr:0.000053987324 epoch_Time:137.0min:
Epoch:[7/66](100/1589) loss:2.072 lr:0.000053966118 epoch_Time:2.0min:
Epoch:[7/66](200/1589) loss:1.556 lr:0.000053944696 epoch_Time:2.0min:
Epoch:[7/66](300/1589) loss:1.730 lr:0.000053923060 epoch_Time:1.0min:
Epoch:[7/66](400/1589) loss:1.083 lr:0.000053901209 epoch_Time:1.0min:
Epoch:[7/66](500/1589) loss:1.835 lr:0.000053879143 epoch_Time:1.0min:
Epoch:[7/66](600/1589) loss:1.711 lr:0.000053856864 epoch_Time:1.0min:
Epoch:[7/66](700/1589) loss:1.469 lr:0.000053834370 epoch_Time:1.0min:
Epoch:[7/66](800/1589) loss:1.765 lr:0.000053811662 epoch_Time:1.0min:
