LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[9/30](700/795) loss:1.546 lr:0.000089893137 epoch_Time:0.0min:
Epoch:[10/30](0/795) loss:1.376 lr:0.000089389263 epoch_Time:73.0min:
Epoch:[10/30](100/795) loss:1.252 lr:0.000088853898 epoch_Time:2.0min:
Epoch:[10/30](200/795) loss:1.886 lr:0.000088313527 epoch_Time:2.0min:
Epoch:[10/30](300/795) loss:1.722 lr:0.000087768243 epoch_Time:1.0min:
Epoch:[10/30](400/795) loss:1.956 lr:0.000087218141 epoch_Time:1.0min:
Epoch:[10/30](500/795) loss:1.773 lr:0.000086663317 epoch_Time:0.0min:
Epoch:[10/30](600/795) loss:1.540 lr:0.000086103866 epoch_Time:0.0min:
Epoch:[10/30](700/795) loss:1.810 lr:0.000085539887 epoch_Time:0.0min:
Epoch:[11/30](0/795) loss:1.594 lr:0.000085000000 epoch_Time:73.0min:
Epoch:[11/30](100/795) loss:1.864 lr:0.000084427470 epoch_Time:2.0min:
Epoch:[11/30](200/795) loss:1.843 lr:0.000083850703 epoch_Time:2.0min:
Epoch:[11/30](300/795) loss:1.823 lr:0.000083269797 epoch_Time:1.0min:
Epoch:[11/30](400/795) loss:1.471 lr:0.000082684853 epoch_Time:1.0min:
Epoch:[11/30](500/795) loss:1.536 lr:0.000082095973 epoch_Time:0.0min:
Epoch:[11/30](600/795) loss:1.758 lr:0.000081503260 epoch_Time:0.0min:
Epoch:[11/30](700/795) loss:1.604 lr:0.000080906816 epoch_Time:0.0min:
Epoch:[12/30](0/795) loss:1.861 lr:0.000080336832 epoch_Time:74.0min:
Epoch:[12/30](100/795) loss:1.350 lr:0.000079733411 epoch_Time:2.0min:
Epoch:[12/30](200/795) loss:1.807 lr:0.000079126565 epoch_Time:2.0min:
Epoch:[12/30](300/795) loss:1.561 lr:0.000078516401 epoch_Time:1.0min:
Epoch:[12/30](400/795) loss:1.919 lr:0.000077903025 epoch_Time:1.0min:
Epoch:[12/30](500/795) loss:2.015 lr:0.000077286542 epoch_Time:0.0min:
Epoch:[12/30](600/795) loss:1.620 lr:0.000076667060 epoch_Time:0.0min:
Epoch:[12/30](700/795) loss:1.825 lr:0.000076044685 epoch_Time:0.0min:
Epoch:[13/30](0/795) loss:1.638 lr:0.000075450850 epoch_Time:75.0min:
Epoch:[13/30](100/795) loss:1.870 lr:0.000074823148 epoch_Time:2.0min:
