LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[9/30](700/795) loss:1.442 lr:0.000898931374 epoch_Time:0.0min:
Epoch:[10/30](0/795) loss:1.276 lr:0.000893892626 epoch_Time:65.0min:
Epoch:[10/30](100/795) loss:1.168 lr:0.000888538978 epoch_Time:2.0min:
Epoch:[10/30](200/795) loss:1.712 lr:0.000883135267 epoch_Time:2.0min:
Epoch:[10/30](300/795) loss:1.587 lr:0.000877682430 epoch_Time:1.0min:
Epoch:[10/30](400/795) loss:1.772 lr:0.000872181413 epoch_Time:1.0min:
Epoch:[10/30](500/795) loss:1.654 lr:0.000866633170 epoch_Time:0.0min:
Epoch:[10/30](600/795) loss:1.383 lr:0.000861038665 epoch_Time:0.0min:
Epoch:[10/30](700/795) loss:1.711 lr:0.000855398868 epoch_Time:0.0min:
Epoch:[11/30](0/795) loss:1.426 lr:0.000850000000 epoch_Time:65.0min:
Epoch:[11/30](100/795) loss:1.682 lr:0.000844274705 epoch_Time:2.0min:
Epoch:[11/30](200/795) loss:1.692 lr:0.000838507027 epoch_Time:2.0min:
Epoch:[11/30](300/795) loss:1.665 lr:0.000832697966 epoch_Time:1.0min:
Epoch:[11/30](400/795) loss:1.385 lr:0.000826848530 epoch_Time:1.0min:
Epoch:[11/30](500/795) loss:1.400 lr:0.000820959735 epoch_Time:0.0min:
Epoch:[11/30](600/795) loss:1.593 lr:0.000815032601 epoch_Time:0.0min:
Epoch:[11/30](700/795) loss:1.512 lr:0.000809068158 epoch_Time:0.0min:
Epoch:[12/30](0/795) loss:1.672 lr:0.000803368322 epoch_Time:65.0min:
Epoch:[12/30](100/795) loss:1.247 lr:0.000797334107 epoch_Time:2.0min:
Epoch:[12/30](200/795) loss:1.606 lr:0.000791265653 epoch_Time:2.0min:
Epoch:[12/30](300/795) loss:1.410 lr:0.000785164014 epoch_Time:1.0min:
Epoch:[12/30](400/795) loss:1.732 lr:0.000779030248 epoch_Time:1.0min:
Epoch:[12/30](500/795) loss:1.881 lr:0.000772865418 epoch_Time:0.0min:
Epoch:[12/30](600/795) loss:1.547 lr:0.000766670595 epoch_Time:0.0min:
Epoch:[12/30](700/795) loss:1.751 lr:0.000760446854 epoch_Time:0.0min:
Epoch:[13/30](0/795) loss:1.485 lr:0.000754508497 epoch_Time:68.0min:
Epoch:[13/30](100/795) loss:1.693 lr:0.000748231475 epoch_Time:2.0min:
Epoch:[13/30](200/795) loss:1.666 lr:0.000741928734 epoch_Time:2.0min:
Epoch:[13/30](300/795) loss:1.517 lr:0.000735601367 epoch_Time:1.0min:
Epoch:[13/30](400/795) loss:1.390 lr:0.000729250472 epoch_Time:1.0min:
Epoch:[13/30](500/795) loss:1.641 lr:0.000722877152 epoch_Time:0.0min:
Epoch:[13/30](600/795) loss:1.263 lr:0.000716482511 epoch_Time:0.0min:
Epoch:[13/30](700/795) loss:1.923 lr:0.000710067660 epoch_Time:0.0min:
Epoch:[14/30](0/795) loss:1.730 lr:0.000703955845 epoch_Time:67.0min:
Epoch:[14/30](100/795) loss:1.301 lr:0.000697504788 epoch_Time:2.0min:
Epoch:[14/30](200/795) loss:1.318 lr:0.000691036813 epoch_Time:2.0min:
Epoch:[14/30](300/795) loss:1.363 lr:0.000684553043 epoch_Time:1.0min:
Epoch:[14/30](400/795) loss:1.352 lr:0.000678054602 epoch_Time:1.0min:
Epoch:[14/30](500/795) loss:1.224 lr:0.000671542618 epoch_Time:0.0min:
Epoch:[14/30](600/795) loss:1.569 lr:0.000665018221 epoch_Time:0.0min:
Epoch:[14/30](700/795) loss:1.448 lr:0.000658482542 epoch_Time:0.0min:
Epoch:[15/30](0/795) loss:1.728 lr:0.000652264232 epoch_Time:65.0min:
Epoch:[15/30](100/795) loss:1.870 lr:0.000645709818 epoch_Time:2.0min:
Epoch:[15/30](200/795) loss:1.580 lr:0.000639147474 epoch_Time:2.0min:
Epoch:[15/30](300/795) loss:1.468 lr:0.000632578338 epoch_Time:1.0min:
