LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[15/30](100/416) loss:1.652 lr:0.000063973144 epoch_Time:1.0min:
Epoch:[15/30](200/416) loss:1.997 lr:0.000062717347 epoch_Time:1.0min:
Epoch:[15/30](300/416) loss:1.761 lr:0.000061459828 epoch_Time:1.0min:
Epoch:[15/30](400/416) loss:1.831 lr:0.000060201384 epoch_Time:0.0min:
Epoch:[16/30](0/416) loss:1.681 lr:0.000060000000 epoch_Time:35.0min:
Epoch:[16/30](100/416) loss:1.779 lr:0.000058741482 epoch_Time:1.0min:
Epoch:[16/30](200/416) loss:1.772 lr:0.000057483762 epoch_Time:1.0min:
Epoch:[16/30](300/416) loss:1.656 lr:0.000056227635 epoch_Time:1.0min:
Epoch:[16/30](400/416) loss:1.799 lr:0.000054973900 epoch_Time:0.0min:
Epoch:[17/30](0/416) loss:1.781 lr:0.000054773577 epoch_Time:36.0min:
Epoch:[17/30](100/416) loss:1.984 lr:0.000053523609 epoch_Time:1.0min:
Epoch:[17/30](200/416) loss:1.784 lr:0.000052277745 epoch_Time:1.0min:
Epoch:[17/30](300/416) loss:1.756 lr:0.000051036774 epoch_Time:1.0min:
Epoch:[17/30](400/416) loss:1.892 lr:0.000049801483 epoch_Time:0.0min:
Epoch:[18/30](0/416) loss:1.818 lr:0.000049604415 epoch_Time:36.0min:
Epoch:[18/30](100/416) loss:1.983 lr:0.000048376693 epoch_Time:1.0min:
Epoch:[18/30](200/416) loss:1.827 lr:0.000047156335 epoch_Time:1.0min:
Epoch:[18/30](300/416) loss:1.786 lr:0.000045944116 epoch_Time:1.0min:
Epoch:[18/30](400/416) loss:1.641 lr:0.000044740803 epoch_Time:0.0min:
Epoch:[19/30](0/416) loss:1.644 lr:0.000044549150 epoch_Time:36.0min:
Epoch:[19/30](100/416) loss:1.843 lr:0.000043357124 epoch_Time:1.0min:
Epoch:[19/30](200/416) loss:1.853 lr:0.000042175643 epoch_Time:1.0min:
Epoch:[19/30](300/416) loss:1.792 lr:0.000041005456 epoch_Time:1.0min:
Epoch:[19/30](400/416) loss:1.717 lr:0.000039847306 epoch_Time:0.0min:
Epoch:[20/30](0/416) loss:1.708 lr:0.000039663168 epoch_Time:36.0min:
Epoch:[20/30](100/416) loss:1.851 lr:0.000038519898 epoch_Time:1.0min:
Epoch:[20/30](200/416) loss:1.931 lr:0.000037390238 epoch_Time:1.0min:
Epoch:[20/30](300/416) loss:1.717 lr:0.000036274906 epoch_Time:1.0min:
Epoch:[20/30](400/416) loss:1.964 lr:0.000035174606 epoch_Time:0.0min:
Epoch:[21/30](0/416) loss:1.655 lr:0.000035000000 epoch_Time:36.0min:
Epoch:[21/30](100/416) loss:1.875 lr:0.000033918012 epoch_Time:1.0min:
Epoch:[21/30](200/416) loss:1.430 lr:0.000032852551 epoch_Time:1.0min:
Epoch:[21/30](300/416) loss:1.735 lr:0.000031804292 epoch_Time:1.0min:
Epoch:[21/30](400/416) loss:1.822 lr:0.000030773899 epoch_Time:0.0min:
Epoch:[22/30](0/416) loss:1.909 lr:0.000030610737 epoch_Time:36.0min:
Epoch:[22/30](100/416) loss:1.569 lr:0.000029601886 epoch_Time:1.0min:
Epoch:[22/30](200/416) loss:1.741 lr:0.000028612297 epoch_Time:1.0min:
Epoch:[22/30](300/416) loss:1.804 lr:0.000027642596 epoch_Time:1.0min:
Epoch:[22/30](400/416) loss:1.868 lr:0.000026693398 epoch_Time:0.0min:
Epoch:[23/30](0/416) loss:1.876 lr:0.000026543470 epoch_Time:37.0min:
Epoch:[23/30](100/416) loss:1.996 lr:0.000025618808 epoch_Time:1.0min:
Epoch:[23/30](200/416) loss:1.759 lr:0.000024715933 epoch_Time:1.0min:
Epoch:[23/30](300/416) loss:1.794 lr:0.000023835415 epoch_Time:1.0min:
Epoch:[23/30](400/416) loss:1.713 lr:0.000022977812 epoch_Time:0.0min:
Epoch:[24/30](0/416) loss:1.721 lr:0.000022842759 epoch_Time:36.0min:
Epoch:[24/30](100/416) loss:1.762 lr:0.000022012418 epoch_Time:1.0min:
Epoch:[24/30](200/416) loss:1.720 lr:0.000021206148 epoch_Time:1.0min:
Epoch:[24/30](300/416) loss:1.594 lr:0.000020424460 epoch_Time:1.0min:
Epoch:[24/30](400/416) loss:1.899 lr:0.000019667849 epoch_Time:0.0min:
Epoch:[25/30](0/416) loss:1.847 lr:0.000019549150 epoch_Time:39.0min:
Epoch:[25/30](100/416) loss:1.712 lr:0.000018822228 epoch_Time:1.0min:
Epoch:[25/30](200/416) loss:1.732 lr:0.000018121397 epoch_Time:1.0min:
Epoch:[25/30](300/416) loss:1.895 lr:0.000017447103 epoch_Time:1.0min:
Epoch:[25/30](400/416) loss:1.705 lr:0.000016799773 epoch_Time:1.0min:
Epoch:[26/30](0/416) loss:1.793 lr:0.000016698730 epoch_Time:36.0min:
Epoch:[26/30](100/416) loss:1.755 lr:0.000016083190 epoch_Time:1.0min:
Epoch:[26/30](200/416) loss:1.791 lr:0.000015495477 epoch_Time:1.0min:
Epoch:[26/30](300/416) loss:1.686 lr:0.000014935965 epoch_Time:1.0min:
Epoch:[26/30](400/416) loss:1.652 lr:0.000014405008 epoch_Time:0.0min:
Epoch:[27/30](0/416) loss:1.960 lr:0.000014322727 epoch_Time:36.0min:
Epoch:[27/30](100/416) loss:1.616 lr:0.000013825313 epoch_Time:1.0min:
Epoch:[27/30](200/416) loss:1.938 lr:0.000013357158 epoch_Time:1.0min:
Epoch:[27/30](300/416) loss:1.911 lr:0.000012918558 epoch_Time:1.0min:
Epoch:[27/30](400/416) loss:1.775 lr:0.000012509791 epoch_Time:0.0min:
Epoch:[28/30](0/416) loss:1.649 lr:0.000012447174 epoch_Time:35.0min:
Epoch:[28/30](100/416) loss:1.447 lr:0.000012073337 epoch_Time:1.0min:
Epoch:[28/30](200/416) loss:1.710 lr:0.000011729868 epoch_Time:1.0min:
Epoch:[28/30](300/416) loss:1.748 lr:0.000011416985 epoch_Time:1.0min:
Epoch:[28/30](400/416) loss:1.831 lr:0.000011134887 epoch_Time:0.0min:
Epoch:[29/30](0/416) loss:1.543 lr:0.000011092620 epoch_Time:37.0min:
Epoch:[29/30](100/416) loss:1.421 lr:0.000010846454 epoch_Time:1.0min:
Epoch:[29/30](200/416) loss:1.486 lr:0.000010631435 epoch_Time:1.0min:
Epoch:[29/30](300/416) loss:1.475 lr:0.000010447698 epoch_Time:1.0min:
Epoch:[29/30](400/416) loss:1.287 lr:0.000010295359 epoch_Time:0.0min:
Epoch:[30/30](0/416) loss:1.907 lr:0.000010273905 epoch_Time:37.0min:
Epoch:[30/30](100/416) loss:1.760 lr:0.000010158109 epoch_Time:1.0min:
Epoch:[30/30](200/416) loss:1.732 lr:0.000010073894 epoch_Time:1.0min:
Epoch:[30/30](300/416) loss:1.902 lr:0.000010021316 epoch_Time:1.0min:
Epoch:[30/30](400/416) loss:1.554 lr:0.000010000406 epoch_Time:0.0min:
